bit_x,bit_y,x_px,y_px,spot_detected
-22369620,-22369620,64,221,True
-22369620,-19173960,68,331,True
-22369620,-15978300,72,441,True
-22369620,-12782640,77,549,True
-22369620,-9586980,81,657,True
-22369620,-6391320,87,766,True
-22369620,-3195660,93,872,True
-22369620,0,99,979,True
-22369620,3195660,105,1085,True
-22369620,6391320,112,1191,True
-22369620,9586980,120,1296,True
-22369620,12782640,128,1400,True
-22369620,15978300,136,1504,True
-22369620,19173960,0,0,False
-22369620,22369620,0,0,False
-19173960,-22369620,169,220,True
-19173960,-19173960,174,330,True
-19173960,-15978300,177,439,True
-19173960,-12782640,182,547,True
-19173960,-9586980,187,655,True
-19173960,-6391320,192,762,True
-19173960,-3195660,197,869,True
-19173960,0,204,976,True
-19173960,3195660,210,1082,True
-19173960,6391320,216,1187,True
-19173960,9586980,223,1291,True
-19173960,12782640,230,1395,True
-19173960,15978300,238,1499,True
-19173960,19173960,0,0,False
-19173960,22369620,0,0,False
-15978300,-22369620,275,219,True
-15978300,-19173960,278,329,True
-15978300,-15978300,282,437,True
-15978300,-12782640,287,544,True
-15978300,-9586980,292,652,True
-15978300,-6391320,297,760,True
-15978300,-3195660,302,867,True
-15978300,0,308,972,True
-15978300,3195660,314,1078,True
-15978300,6391320,320,1183,True
-15978300,9586980,326,1287,True
-15978300,12782640,333,1390,True
-15978300,15978300,340,1494,True
-15978300,19173960,0,0,False
-15978300,22369620,0,0,False
-12782640,-22369620,380,217,True
-12782640,-19173960,384,326,True
-12782640,-15978300,388,434,True
-12782640,-12782640,392,542,True
-12782640,-9586980,397,650,True
-12782640,-6391320,401,757,True
-12782640,-3195660,407,863,True
-12782640,0,412,969,True
-12782640,3195660,418,1074,True
-12782640,6391320,423,1179,True
-12782640,9586980,429,1283,True
-12782640,12782640,435,1386,True
-12782640,15978300,442,1489,True
-12782640,19173960,0,0,False
-12782640,22369620,0,0,False
-9586980,-22369620,486,215,True
-9586980,-19173960,489,324,True
-9586980,-15978300,493,432,True
-9586980,-12782640,497,540,True
-9586980,-9586980,502,647,True
-9586980,-6391320,507,754,True
-9586980,-3195660,512,860,True
-9586980,0,516,966,True
-9586980,3195660,522,1071,True
-9586980,6391320,527,1175,True
-9586980,9586980,532,1279,True
-9586980,12782640,538,1382,True
-9586980,15978300,544,1485,True
-9586980,19173960,0,0,False
-9586980,22369620,0,0,False
-6391320,-22369620,591,213,True
-6391320,-19173960,595,322,True
-6391320,-15978300,599,429,True
-6391320,-12782640,603,537,True
-6391320,-9586980,607,644,True
-6391320,-6391320,612,751,True
-6391320,-3195660,616,857,True
-6391320,0,621,963,True
-6391320,3195660,626,1067,True
-6391320,6391320,631,1172,True
-6391320,9586980,636,1275,True
-6391320,12782640,641,1378,True
-6391320,15978300,646,1481,True
-6391320,19173960,0,0,False
-6391320,22369620,0,0,False
-3195660,-22369620,697,210,True
-3195660,-19173960,701,318,True
-3195660,-15978300,705,426,True
-3195660,-12782640,709,534,True
-3195660,-9586980,713,641,True
-3195660,-6391320,718,748,True
-3195660,-3195660,721,854,True
-3195660,0,726,959,True
-3195660,3195660,731,1064,True
-3195660,6391320,735,1168,True
-3195660,9586980,739,1271,True
-3195660,12782640,744,1375,True
-3195660,15978300,749,1478,True
-3195660,19173960,0,0,False
-3195660,22369620,0,0,False
0,-22369620,803,207,True
0,-19173960,807,316,True
0,-15978300,811,423,True
0,-12782640,815,531,True
0,-9586980,820,638,True
0,-6391320,824,744,True
0,-3195660,828,850,True
0,0,832,956,True
0,3195660,835,1060,True
0,6391320,840,1165,True
0,9586980,844,1268,True
0,12782640,848,1372,True
0,15978300,852,1475,True
0,19173960,0,0,False
0,22369620,0,0,False
3195660,-22369620,910,203,True
3195660,-19173960,914,312,True
3195660,-15978300,918,420,True
3195660,-12782640,922,527,True
3195660,-9586980,926,635,True
3195660,-6391320,930,741,True
3195660,-3195660,934,847,True
3195660,0,938,952,True
3195660,3195660,941,1057,True
3195660,6391320,945,1162,True
3195660,9586980,949,1265,True
3195660,12782640,952,1368,True
3195660,15978300,956,1472,True
3195660,19173960,0,0,False
3195660,22369620,0,0,False
6391320,-22369620,1016,199,True
6391320,-19173960,1021,308,True
6391320,-15978300,1025,416,True
6391320,-12782640,1029,524,True
6391320,-9586980,1032,631,True
6391320,-6391320,1036,737,True
6391320,-3195660,1040,843,True
6391320,0,1043,949,True
6391320,3195660,1047,1054,True
6391320,6391320,1050,1159,True
6391320,9586980,1053,1263,True
6391320,12782640,1056,1366,True
6391320,15978300,1059,1469,True
6391320,19173960,0,0,False
6391320,22369620,0,0,False
9586980,-22369620,1123,195,True
9586980,-19173960,1128,304,True
9586980,-15978300,1131,412,True
9586980,-12782640,1136,520,True
9586980,-9586980,1139,627,True
9586980,-6391320,1142,734,True
9586980,-3195660,1146,840,True
9586980,0,1149,946,True
9586980,3195660,1152,1051,True
9586980,6391320,1155,1155,True
9586980,9586980,1158,1260,True
9586980,12782640,1161,1363,True
9586980,15978300,1163,1466,True
9586980,19173960,0,0,False
9586980,22369620,0,0,False
12782640,-22369620,1230,190,True
12782640,-19173960,1235,299,True
12782640,-15978300,1238,408,True
12782640,-12782640,1242,516,True
12782640,-9586980,1245,623,True
12782640,-6391320,1249,730,True
12782640,-3195660,1252,837,True
12782640,0,1256,943,True
12782640,3195660,1258,1048,True
12782640,6391320,1261,1153,True
12782640,9586980,1263,1257,True
12782640,12782640,1265,1361,True
12782640,15978300,1267,1464,True
12782640,19173960,0,0,False
12782640,22369620,0,0,False
15978300,-22369620,1337,185,True
15978300,-19173960,1341,295,True
15978300,-15978300,1346,403,True
15978300,-12782640,1349,511,True
15978300,-9586980,1353,619,True
15978300,-6391320,1356,727,True
15978300,-3195660,1359,834,True
15978300,0,1361,940,True
15978300,3195660,1364,1046,True
15978300,6391320,1366,1151,True
15978300,9586980,1367,1255,True
15978300,12782640,1369,1359,True
15978300,15978300,1371,1463,True
15978300,19173960,0,0,False
15978300,22369620,0,0,False
19173960,-22369620,1443,179,True
19173960,-19173960,1448,289,True
19173960,-15978300,1453,398,True
19173960,-12782640,1456,507,True
19173960,-9586980,1460,615,True
19173960,-6391320,1463,723,True
19173960,-3195660,1465,830,True
19173960,0,1468,937,True
19173960,3195660,1469,1043,True
19173960,6391320,1471,1148,True
19173960,9586980,1472,1253,True
19173960,12782640,1473,1358,True
19173960,15978300,1473,1461,True
19173960,19173960,0,0,False
19173960,22369620,0,0,False
22369620,-22369620,1550,174,True
22369620,-19173960,1555,283,True
22369620,-15978300,1559,393,True
22369620,-12782640,1563,502,True
22369620,-9586980,1566,611,True
22369620,-6391320,1569,719,True
22369620,-3195660,1571,826,True
22369620,0,1573,934,True
22369620,3195660,1575,1040,True
22369620,6391320,1576,1146,True
22369620,9586980,1577,1251,True
22369620,12782640,1578,1356,True
22369620,15978300,1577,1460,True
22369620,19173960,0,0,False
22369620,22369620,0,0,False
